,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,89.83,93.99,92.05,91.98,92.29,92.94,93.13,92.82,96.10,96.11,96.16
STTC,80.88,84.93,82.11,84.65,85.98,87.64,88.39,86.63,90.22,90.68,89.76
AMI,83.33,85.77,90.40,95.01,94.24,90.30,86.35,86.49,96.77,96.80,96.36
IMI,71.95,93.40,75.40,74.62,75.62,77.32,80.48,83.26,93.17,95.24,95.25
LAFB/LPFB,79.24,97.63,83.72,81.16,81.89,86.03,89.68,90.98,97.90,98.25,97.75
IRBBB,74.24,79.46,96.25,91.57,76.43,75.64,76.37,80.04,96.01,96.30,95.24
LVH,88.09,90.92,91.56,91.08,91.12,92.19,93.36,94.19,94.55,94.37,95.25
CLBBB,99.59,99.69,99.78,99.78,99.70,99.68,99.74,99.73,99.61,99.57,99.32
NST_,85.12,87.36,85.36,84.90,85.08,85.23,87.57,86.84,88.45,88.50,87.39
ISCA,88.06,87.89,89.24,88.90,89.83,89.88,89.59,88.59,92.00,92.15,90.76
CRBBB,99.03,99.37,99.70,99.60,99.30,99.22,99.28,99.21,99.59,99.57,99.62
IVCD,68.71,74.15,71.75,72.81,71.68,70.16,69.28,71.13,75.71,76.77,78.90
ISC_,90.82,93.04,91.90,91.78,91.74,93.54,95.26,95.65,95.37,95.49,95.24
_AVB,92.80,95.32,93.45,93.16,93.36,93.39,93.70,93.82,94.39,93.88,93.95
ISCI,72.64,91.96,72.33,77.89,77.14,79.68,82.04,82.38,92.96,94.22,91.27
WPW,87.66,85.64,91.83,85.80,86.27,85.68,84.59,84.73,93.35,94.50,91.71
LAO/LAE,81.01,87.29,83.96,80.80,80.28,81.77,82.62,82.36,81.85,83.11,81.11
ILBBB,91.04,91.22,92.43,93.43,91.80,93.89,94.22,93.60,92.91,92.07,88.52
RAO/RAE,85.72,97.39,88.37,85.08,82.09,89.83,90.14,90.20,94.46,93.27,93.03
LMI,99.04,99.67,98.82,99.33,99.48,99.46,99.45,99.65,98.88,99.30,97.04
Average,85.23,90.66,88.34,87.96,87.06,87.97,88.58,88.92,93.04,93.32,92.42
