,GeorgiaRefinement/D1,GeorgiaRefinement/D1-D2,GeorgiaRefinement/D1-V1,GeorgiaRefinement/D1-V2,GeorgiaRefinement/D1-V3,GeorgiaRefinement/D1-V4,GeorgiaRefinement/D1-V5,GeorgiaRefinement/D1-V6,GeorgiaRefinement/8leads,GeorgiaRefinement/12leads,GeorgiaRefinement/12leads_WithoutDataAugmentation
IAVB,62.71,73.50,72.44,73.10,73.59,76.68,75.70,71.59,82.23,77.32,88.05
AF,63.47,72.76,71.93,68.29,69.58,72.40,72.69,69.27,79.00,76.71,80.09
AFL,56.33,60.66,65.74,58.63,57.43,59.28,60.80,57.68,60.37,69.42,70.09
CRBBB,85.83,87.31,90.85,92.49,91.62,91.43,91.22,87.40,94.57,93.10,94.94
IRBBB,61.32,62.31,69.70,78.73,74.29,74.87,71.57,65.01,86.16,82.57,87.92
LAnFB,64.04,77.90,68.66,64.76,51.54,53.88,57.65,65.94,80.59,84.14,88.37
LAD,59.68,87.43,67.65,64.67,62.03,67.83,72.09,74.34,88.06,92.36,92.37
LBBB,56.49,84.82,84.03,87.02,87.60,87.79,90.04,83.65,96.71,97.94,98.11
LQRSV,71.87,81.71,73.41,73.56,74.70,76.74,77.22,81.87,86.52,88.87,88.25
NSIVCB,65.94,65.16,66.40,55.41,55.44,60.89,67.37,66.55,64.92,70.84,74.51
PAC,56.73,60.42,56.30,58.19,55.86,57.61,57.00,57.25,58.53,61.01,60.87
LQT,60.57,61.27,61.98,59.37,57.19,59.24,58.89,60.74,68.48,72.08,74.52
QAb,51.53,53.65,52.29,46.39,47.92,52.98,49.74,52.45,67.33,72.11,74.76
RAD,82.40,85.20,87.62,84.24,79.16,78.74,75.06,74.69,80.43,84.16,79.75
SA,51.89,50.83,44.65,51.30,53.01,54.38,51.51,50.08,53.80,54.62,63.55
SB,71.53,79.31,74.15,73.47,73.29,80.03,82.37,82.07,89.83,91.86,93.27
SNR,68.92,75.76,66.93,69.17,73.73,75.67,75.70,75.92,83.74,84.96,86.99
STach,68.22,73.18,71.97,69.09,65.30,68.25,70.65,73.48,87.84,89.00,93.16
TAb,77.08,81.64,77.64,78.77,80.51,82.55,81.98,81.61,86.11,86.88,86.44
TInv,51.44,54.81,55.16,51.56,50.61,51.16,50.76,52.74,61.83,64.40,65.36
VPB,64.03,63.71,65.09,63.46,62.30,63.51,66.05,65.10,69.60,70.69,68.42
Average,62.19,70.00,67.60,66.36,65.50,67.57,68.27,67.82,76.90,78.67,80.76
