,AF,AFL,LBBB,CRBBB,IAVB,IRBBB,LAD,LAnFB,LQRSV,LQT,NSIVCB,SNR,PAC,VPB,QAb,RAD,SA,SB,STach,TAb,TInv
AF,1,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.4,0.35,0.3,0.3,0.375,0.5,0.5
AFL,0.5,1,0.475,0.4,0.3,0.3,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.4,0.35,0.3,0.3,0.375,0.5,0.5
LBBB,0.475,0.475,1,0.425,0.325,0.325,0.375,0.375,0.45,0.475,0.375,0.275,0.3625,0.4,0.375,0.375,0.325,0.325,0.4,0.475,0.475
CRBBB,0.4,0.4,0.425,1,0.4,0.4,0.45,0.45,0.475,0.45,0.45,0.35,0.4375,0.475,0.3,0.45,0.4,0.4,0.475,0.4,0.4
IAVB,0.3,0.3,0.325,0.4,1,0.5,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.2,0.45,0.5,0.5,0.425,0.3,0.3
IRBBB,0.3,0.3,0.325,0.4,0.5,1,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.2,0.45,0.5,0.5,0.425,0.3,0.3
LAD,0.35,0.35,0.375,0.45,0.45,0.45,1,0.5,0.425,0.4,0.5,0.4,0.4875,0.475,0.25,0.5,0.45,0.45,0.475,0.35,0.35
LAnFB,0.35,0.35,0.375,0.45,0.45,0.45,0.5,1,0.425,0.4,0.5,0.4,0.4875,0.475,0.25,0.5,0.45,0.45,0.475,0.35,0.35
LQRSV,0.425,0.425,0.45,0.475,0.375,0.375,0.425,0.425,1,0.475,0.425,0.325,0.4125,0.45,0.325,0.425,0.375,0.375,0.45,0.425,0.425
LQT,0.45,0.45,0.475,0.45,0.35,0.35,0.4,0.4,0.475,1,0.4,0.3,0.3875,0.425,0.35,0.4,0.35,0.35,0.425,0.45,0.45
NSIVCB,0.35,0.35,0.375,0.45,0.45,0.45,0.5,0.5,0.425,0.4,1,0.4,0.4875,0.475,0.25,0.5,0.45,0.45,0.475,0.35,0.35
SNR,0.25,0.25,0.275,0.35,0.45,0.45,0.4,0.4,0.325,0.3,0.4,1,0.4125,0.375,0.15,0.4,0.45,0.45,0.375,0.25,0.25
PAC,0.3375,0.3375,0.3625,0.4375,0.4625,0.4625,0.4875,0.4875,0.4125,0.3875,0.4875,0.4125,1,0.4625,0.2375,0.4875,0.4625,0.4625,0.4625,0.3375,0.3375
VPB,0.375,0.375,0.4,0.475,0.425,0.425,0.475,0.475,0.45,0.425,0.475,0.375,0.4625,1,0.275,0.475,0.425,0.425,0.5,0.375,0.375
QAb,0.4,0.4,0.375,0.3,0.2,0.2,0.25,0.25,0.325,0.35,0.25,0.15,0.2375,0.275,1,0.25,0.2,0.2,0.275,0.4,0.4
RAD,0.35,0.35,0.375,0.45,0.45,0.45,0.5,0.5,0.425,0.4,0.5,0.4,0.4875,0.475,0.25,1,0.45,0.45,0.475,0.35,0.35
SA,0.3,0.3,0.325,0.4,0.5,0.5,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.2,0.45,1,0.5,0.425,0.3,0.3
SB,0.3,0.3,0.325,0.4,0.5,0.5,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.2,0.45,0.5,1,0.425,0.3,0.3
STach,0.375,0.375,0.4,0.475,0.425,0.425,0.475,0.475,0.45,0.425,0.475,0.375,0.4625,0.5,0.275,0.475,0.425,0.425,1,0.375,0.375
TAb,0.5,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.4,0.35,0.3,0.3,0.375,1,0.5
TInv,0.5,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.4,0.35,0.3,0.3,0.375,0.5,1
